price range|price|address|locality|postalCode|beds|bathes|cars|link
600000-650000|$608,000|12-14 Belinda Place|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-123920862
450000-500000|SOLD FULL PRICE  -  $475,000|3/33-35 Susan Street|Auburn|2144|2|1|1|http://www.realestate.com.au/property-apartment-nsw-auburn-124071858
600000-650000|$699,000|9 - 11 Kimberley Street|Merrylands|2160|3|3|2|http://www.realestate.com.au/property-townhouse-nsw-merrylands-124219518
550000-600000|$599,950|470 Great Western Highway|Pendle Hill|2145|2|1|2|http://www.realestate.com.au/property-house-nsw-pendle+hill-123184238
550000-600000|$728,000|13/114-120 Auburn Road|Auburn|2144|3|1|1|http://www.realestate.com.au/property-townhouse-nsw-auburn-123987726
550000-600000|For Sale $560,000 - $590,000|3/10 Harvard Street|Gladesville|2111|2|1|1|http://www.realestate.com.au/property-unit-nsw-gladesville-123507218
600000-650000|Buyer's guide $680,000 to $730,000|3/34 NOBLE AVENUE|Strathfield|2135|2|1|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-124050094
550000-600000|$648,000 - $698,000|12-14 Northumberland Rd|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-122781834
550000-600000|$629,000 -Frank La Malfa|2/20 St Johns Avenue|Auburn|2144|2|1|1|http://www.realestate.com.au/property-villa-nsw-auburn-124152230
650000-700000|FOR SALE $680,000-$720,000|14/31 Fontenoy Rd|Macquarie Park|2113|2|1|2|http://www.realestate.com.au/property-unit-nsw-macquarie+park-124218394
400000-450000|$450,000 to $465,000|23/67a Harrow Road|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-123746174
600000-650000|$659,000|3/54 Grose Street|North Parramatta|2151|3|1|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123974766
500000-550000|$585,000|5/232 Targo Road|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-123485530
550000-600000|Price Upon Application||Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-106590551
550000-600000|Contact Agent|7-9 Short St|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-124182598
600000-650000|$615,000 to $640,000|19-25 Garfield Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-122473998
650000-700000|STAGE 1 SOLD OUT|23-25 John Street|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-apartment-nsw-lidcombe-121461634
650000-700000|$668,000|64/45 Rawson St|Auburn|2144|3|3|2|http://www.realestate.com.au/property-apartment-nsw-auburn-124191138
650000-700000|***Inspection Cancelled, Deposit Taken***|24/1-55 West Parade|West Ryde|2114|2|2|1|http://www.realestate.com.au/property-apartment-nsw-west+ryde-124233398
550000-600000|Contact Agent||Wentworthville|2145|3|1|1|http://www.realestate.com.au/property-house-nsw-wentworthville-118227455
600000-650000|E.O.I|16/9-11 Weston Street|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124278462
650000-700000|Contact Agent|4-8  Bouvardia Street|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-120810885
400000-450000|Price Guide $445,000 - $485,000|4/57-61 The Esplanade|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-124236722
550000-600000|P.O.A.|Building A G7/86 Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-unit-nsw-homebush+west-123632578
550000-600000|Under Contract|21/167 Parramatta Road|Strathfield|2135|2|2|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-123688182
550000-600000|Price guide $540,000 - $580,000|26/76 Railway Terrace|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123809950
400000-450000|$510,000 to $529,000|51/188 South Parade|Auburn|2144|2|2|2|http://www.realestate.com.au/property-unit-nsw-auburn-123623550
650000-700000|FOR SALE $660,000-$690,000|3/119 Coxs Road|North Ryde|2113|2|1|2|http://www.realestate.com.au/property-unit-nsw-north+ryde-123581506
600000-650000|$619,990|403/71-73 Essington Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123870306
600000-650000|Contact Agent|301/120 James Ruse Drive|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-120533533
650000-700000|$699,000||Strathfield|2135|2|2|2|http://www.realestate.com.au/property-apartment-nsw-strathfield-124293086
600000-650000|"$635,000 to $660,000 | Christian Leung"|316D/81-86 Courallie Avenue|Homebush West|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-122955598
450000-500000|Contact Agent|35-39 Balmoral St|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-122574738
550000-600000|From $589,000|G10/89-93 Wentworth Avenue|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123450614
650000-700000|Under Contract|1 Cosimo Street|Toongabbie|2146|3|1|1|http://www.realestate.com.au/property-house-nsw-toongabbie-124192470
650000-700000|Expression of Interest|15-17 Enid Avenue|Granville|2142|2|2|1|http://www.realestate.com.au/property-unit-nsw-granville-123602930
650000-700000|$730,000 - $780,000|701/43 Church Street|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-apartment-nsw-lidcombe-124115154
550000-600000|$568,000|31/538-540 Woodville Road|Guildford|2161|2|1|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123907170
600000-650000|$635,000||Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-123405174
550000-600000|$558,000 to $688,000|22 Northumberland Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-121288998
550000-600000|$600K|40 VILLIERS Street|Merrylands|2160|2|2|2|http://www.realestate.com.au/property-apartment-nsw-merrylands-120008689
650000-700000|$700,000 to $720,000|1/37-39 Marshall Road|Telopea|2117|2|1|2|http://www.realestate.com.au/property-townhouse-nsw-telopea-124006826
650000-700000|$741,000|126/24-32 Koorine Street|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-124118570
500000-550000|540000-570000||Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-122907578
350000-400000|$399,000|6/26 St Hilliers Road|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-124166838
650000-700000|$700,000|19-21 Lavinia St|Granville|2142|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-granville-120041633
500000-550000|Price Guide $600,000|12/62-66 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-unit-nsw-homebush+west-124030194
650000-700000|UNDER CONTRACT|3/25 Livingstone Road|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-unit-nsw-lidcombe-123506766
550000-600000|Price Guide I $599,950|3/50 Nijong Drive|Pemulwuy|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pemulwuy-123813982
400000-450000|$450,000 - $470,000|13/11 Louis Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-unit-nsw-granville-124235934
550000-600000|Contact Agent||Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-124108882
600000-650000|$669,000|64 Yillowra Street|Auburn|2144|2|1|1|http://www.realestate.com.au/property-house-nsw-auburn-124023938
650000-700000|CONTACT AGENT|201/101 Church Street|Ryde|2112|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ryde-123812054
650000-700000|$690,000|53/1-4 The Crescent|Strathfield|2135|2|2|2|http://www.realestate.com.au/property-apartment-nsw-strathfield-124189534
550000-600000|Buyers Range $570,000 - $590,000|6/13-21 Great Western Highway|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-house-nsw-parramatta-120405721
650000-700000|$720,000 to $760,000|66  Bertha Street|Merrylands|2160|3|1|4|http://www.realestate.com.au/property-house-nsw-merrylands-124099098
600000-650000|Contact Agent|23 Hassall Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-120409217
450000-500000|UNDER OFFER|33/8-10 Casuarina Drive|Cherrybrook|2126|2|2|1|http://www.realestate.com.au/property-retirement+living-nsw-cherrybrook-124221730
600000-650000|Contact Agent|15/17-25 Kerrs Road|Lidcombe|2141|2|1|1|http://www.realestate.com.au/property-apartment-nsw-lidcombe-122103862
650000-700000|Contact Agent|31-35 LOUIS STREET|Granville|2142|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-granville-124251970
600000-650000|Express Sale|12/217-221 Carlingford Road|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-123990398
450000-500000|$495,000|14/58-60 Fullagar Rd|Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-123407898
650000-700000|Starting from $745,000|Lot 91 Spurway Drive|Castle Hill|2154|3|2|2|http://www.realestate.com.au/property-unit-nsw-castle+hill-118767415
650000-700000|BRAND NEW ON THE MARKET|58-62 Toongabbie Rd|Toongabbie|2146|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-toongabbie-123105346
600000-650000|Price Guide $625,000 - $675,000|4/108 Macquarie Road|Greystanes|2145|2|1|1|http://www.realestate.com.au/property-villa-nsw-greystanes-124102186
650000-700000|UNDER CONTRACT! SOLD IN 2 WEEKS!|G2.202/57 Hill Road|Wentworth Point|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-123541946
650000-700000|Contact agent|2-8A Donald Street|Carlingford|2118|2|2|2|http://www.realestate.com.au/property-apartment-nsw-carlingford-120341025
500000-550000|Price Guide $550,000 - $600,000|45/54-62 Nijong Drive|Pemulwuy|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-pemulwuy-124045386
550000-600000|Price $599,000|37/9 Hillcrest Street|Homebush|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush-123512206
650000-700000|$698,000|64-72  River Road|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-124072234
650000-700000|Please Contact Agent|6/12-16 Belmore Street|Burwood|2134|2|1|1|http://www.realestate.com.au/property-apartment-nsw-burwood-124180390
550000-600000|$570,000|604/120 James Ruse Dri|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-123726146
450000-500000|Contact Agent|12/10-12 Albert Street|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123860310
600000-650000|$645,000 & $750,000|1-6/92 Burnett Street|Merrylands|2160|2|2|2|http://www.realestate.com.au/property-townhouse-nsw-merrylands-123250558
650000-700000|Price guide $645,000 - $685,000|413/64 River Road|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-123114814
650000-700000|$700,000 to $720,000|42 Northcote Street|Auburn|2144|3|1|1|http://www.realestate.com.au/property-house-nsw-auburn-124177350
550000-600000|FOR SALE $600,000 - $639,000|4512/57-59 Queen Street|Auburn|2144|3|2|2|http://www.realestate.com.au/property-unit-nsw-auburn-121851914
600000-650000|BIG DISCOUNT FOR A FEW SELECTED APARTMENT|22-30 Station Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-122521006
450000-500000|$490,000 - $530,000|1/12 Mooney Street|Strathfield South|2136|2|1|1|http://www.realestate.com.au/property-apartment-nsw-strathfield+south-123146142
650000-700000|$690,000-$730,000|13/10-14 Gladstone Street|North Parramatta|2151|3|2|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123852074
550000-600000|Price Guide $575,000 - $585,000|310/2 Rawson Road|South Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-south+wentworthville-120195185
650000-700000|$710,000 to $760,000|4/43 Girraween Road|Girraween|2145|3|2|2|http://www.realestate.com.au/property-duplex+semi+detached-nsw-girraween-124057062
550000-600000|0||||0|0|0|http://www.realestate.com.au/project-aria-nsw-auburn-600013546?numBeds=2
650000-700000|Now Selling|12 Burwood Road|Burwood|2134|2|2|1|http://www.realestate.com.au/property-apartment-nsw-burwood-120727621
350000-400000|Expressions of Interest|20/23 St Ann Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124041798
450000-500000|Range $520,000 - $550,000|20/19-27 Adderton Road|Telopea|2117|2|1|1|http://www.realestate.com.au/property-apartment-nsw-telopea-123981442
550000-600000|Contact Agent|1A-1C Orinoco Street|Pymble|2073|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pymble-123598306
550000-600000|JUST LISTED|33/49 Dobson Crescent|Baulkham Hills|2153|2|2|1|http://www.realestate.com.au/property-unit-nsw-baulkham+hills-124258178
550000-600000|SOLD|17/8-12 Kerrs Road|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-unit-nsw-lidcombe-122570422
400000-450000|PRICE RANGE-$420,000 $450,000|10/67 Harrow Road|Auburn|2144|2|1|1|http://www.realestate.com.au/property-apartment-nsw-auburn-121129418
350000-400000|Price Guide $400,000 - $430,000|4/43-45 Neil Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123928678
550000-600000|$649,000|8/18 Brickfield Street|North Parramatta|2151|2|2|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123977418
450000-500000|Under Contract|13/113 Metella Road|Toongabbie|2146|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-toongabbie-124181326
650000-700000|Price range $780,000 - $820,000|18 Price Street|Merrylands|2160|4|3|2|http://www.realestate.com.au/property-duplex+semi+detached-nsw-merrylands-123997462
600000-650000|$604,000|18-20 Louis St|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123967578
550000-600000|$655,000 - $665,000|39A Dennistoun Ave|Guildford|2161|2|1|1|http://www.realestate.com.au/property-house-nsw-guildford-123869026
550000-600000|Price Upon Application|4/41-43 Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-120034937
650000-700000|Contact Agent|17/48 Cooper Street|Strathfield|2135|2|2|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-123788418
550000-600000|Price guide $650,000 - $700,000|4/21-25  Seven Hills Rd|Baulkham Hills|2153|2|2|1|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-122953322
550000-600000|$580,000|Apartment 54/32-34 Mons Rd|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-120119785
600000-650000|Price Guide $630,000 - $670,000|39/40-42 Jenner Street|Baulkham Hills|2153|2|2|2|http://www.realestate.com.au/property-unit-nsw-baulkham+hills-124137262
500000-550000|$599,000|307/3-5 Weston St|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124232350
450000-500000|$490,000|12/38 Boomerang St|Granville|2142|2|2|1|http://www.realestate.com.au/property-unit-nsw-granville-123582482
550000-600000|$560,000||Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-120721477
600000-650000|$695,000|25/44-46 Keeler Street|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-122543150
400000-450000|540,000 to 560,000|13/20 Reid Avenue|Westmead|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-westmead-124002058
550000-600000|$660,000 - $690,000|1208/91b Bridge Road|Westmead|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-westmead-123976770
650000-700000|$678,000|4/19 Macquarie Rd|Auburn|2144|3|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-123589186
650000-700000|Aspect Carlingford|110 Adderton Road|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-121603350
500000-550000|For Sale $629,000|7/24 Burlington Road|Homebush|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush-123813306
500000-550000|$549,000|98/79-87 Beaconsfield Street|Silverwater|2128|2|1|1|http://www.realestate.com.au/property-apartment-nsw-silverwater-123851062
550000-600000|$589,000|113/89-93 Wentworth  Wentworthville|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123627806
600000-650000|$610,000|U304/28-30 Burbang cres|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-unit-nsw-rydalmere-124239026
650000-700000|$698000|23  porter st|Ryde|2112|2|1|1|http://www.realestate.com.au/property-apartment-nsw-ryde-122855238
650000-700000|$800,000|2 Heath Street|Granville|2142|3|1|2|http://www.realestate.com.au/property-house-nsw-granville-123694570
600000-650000|$610,000 - $660,000|2/69-71 Chelmsford Road|South Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-villa-nsw-south+wentworthville-124173610
500000-550000|$549,950|1/24 Bellevue Street|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-apartment-nsw-north+parramatta-124239570
500000-550000|$524,950|14/30-32 Briens Road|Northmead|2152|2|1|1|http://www.realestate.com.au/property-apartment-nsw-northmead-123866674
650000-700000|SOLD $835,000|9/2 Station Avenue|Concord West|2138|2|2|1|http://www.realestate.com.au/property-townhouse-nsw-concord+west-124023322
350000-400000|$475,000 - $495,000|4/44 - 46 Memorial Avenue|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123716366
650000-700000|AUCTION|13 Lewis Street|South Wentworthville|2145|3|1|1|http://www.realestate.com.au/property-house-nsw-south+wentworthville-124106858
600000-650000|$649,000|2/289 Clyde Street|Granville|2142|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-granville-122095534
450000-500000|$609,950|11/55-57 Hassall Street|Westmead|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-westmead-123685142
450000-500000|For Sale By Negotiation|Unit 7/20 Hornsey Road|Homebush West|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124150862
450000-500000|Contact Agent|48-52 Neil Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-118026455
550000-600000|$568,000 to $639,000|18 Louis Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123841458
650000-700000|$690,000|G01/50  Loftus Crescent|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-120291369
550000-600000|For Sale||Telopea|2117|2|2|1|http://www.realestate.com.au/property-apartment-nsw-telopea-123033562
550000-600000|$575,000 - $585,000|1/271 Dunmore Street|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-121108498
600000-650000|For Sale $699,000|G13/81-86 Courallie Avenue|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-122700598
450000-500000|$489,950 - $539,950|5/55 Stapleton Street|Pendle Hill|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-pendle+hill-124107538
650000-700000|Contact Agent||Harris Park|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-harris+park-124225742
500000-550000|Contact Agent|25 Regent Honeyeater Grove|Kellyville|2155|2|2|2|http://www.realestate.com.au/property-apartment-nsw-kellyville-122158542
550000-600000|$679,000|6/21-23 Grose Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123877570
650000-700000|Contact Agent|G08/81-86 Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123987506
600000-650000|UNDER CONTRACT|17/34-38 KERRS ROAD|Lidcombe|2141|2|1|1|http://www.realestate.com.au/property-unit-nsw-lidcombe-123916178
550000-600000|Buyers Guide $670,000 - $720,000|12/220 Blaxland Road|Ryde|2112|3|1|2|http://www.realestate.com.au/property-apartment-nsw-ryde-124178446
650000-700000|$689,000|22B Hampden St|South Wentworthville|2145|3|2|1|http://www.realestate.com.au/property-villa-nsw-south+wentworthville-122560314
500000-550000|"For Sale | Dib Chidiac"|32-36 Underwood Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-123328282
600000-650000|$690,000|13-16-17/79 Merrylands Road|Merrylands|2160|3|2|2|http://www.realestate.com.au/property-apartment-nsw-merrylands-121522338
650000-700000|$725,000|B7.09/11 Solent Circuit|Baulkham Hills|2153|2|2|1|http://www.realestate.com.au/property-house-nsw-baulkham+hills-122652838
400000-450000|$539,000|14/16-24 Lydbrook Street|Westmead|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123476442
600000-650000|Under Contract|30I 19-21 George Street|North Strathfield|2137|2|2|1|http://www.realestate.com.au/property-apartment-nsw-north+strathfield-123436518
600000-650000|$649,000|100 Ballandella Road|Toongabbie|2146|2|1|5|http://www.realestate.com.au/property-house-nsw-toongabbie-123675126
650000-700000|Contact Agent|24/7 Aird Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123300062
600000-650000|SOLD||Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-119082639
650000-700000|SOLD FOR RECORD PRICE!|11 Pearce Street|Ermington|2115|2|2|2|http://www.realestate.com.au/property-townhouse-nsw-ermington-122060530
450000-500000|2 Bed From $679,000|319-323 Peats Ferry Road|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-118290095
650000-700000|$681,000|64-72  River Road|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-124073978
550000-600000|Contact Agent|14/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039478
550000-600000|$590,000~$605,000|26/79-87 Beaconsfield Street|Silverwater|2128|2|2|2|http://www.realestate.com.au/property-apartment-nsw-silverwater-122811894
500000-550000|Under contract|4/31-33 Hampstead Road|Homebush West|2140|2|1|1|http://www.realestate.com.au/property-unit-nsw-homebush+west-124167698
400000-450000|Price Guide $440,000 - $460,000|18/17-21 Todd Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124107946
600000-650000|Price Upon Application|18C/30-34 CHURCHILL AVENUE|Strathfield|2135|2|1|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-123741738
650000-700000|EOI NOW!||Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124247230
500000-550000|$559,000.00|12/45 Rawson Street|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-124074938
450000-500000|$529,000|3326/57-59 Queen St|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-122806022
500000-550000|UNDER CONTRACT|7/427-429 Guildford Road|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-123678386
600000-650000|$629,000-$649,000|1/12 Clarence Street|Lidcombe|2141|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-lidcombe-123942886
400000-450000|Auction On Site Sat 17th Dec 11am|20/105-113 Stapleton Street|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-pendle+hill-124180726
600000-650000|$669,000|Apartment 2 201/1a  Moreton Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123566574
550000-600000|$565,000|7/175-181 Pitt Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123327842
500000-550000|$520,000|1/427 Liverpool Road|Strathfield|2135|2|1|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-120226569
600000-650000|$640,000|12/20 Station St|West Ryde|2114|2|1|1|http://www.realestate.com.au/property-unit-nsw-west+ryde-123916006
600000-650000|UNDER CONTRACT|8/65-69 Adderton Road|Telopea|2117|2|2|1|http://www.realestate.com.au/property-apartment-nsw-telopea-123861482
550000-600000|$669,950|5/41-45 South Street|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-124186326
350000-400000|$485,000|5/37-39 Lane Street|Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-124120538
600000-650000|NEW PROJECT NOW SELLING|172 South Parade|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123976506
500000-550000|0||||0|0|0|http://www.realestate.com.au/project-skyline+merrylands-nsw-merrylands-600013726?numBeds=2
550000-600000|Auction (Unless Sold Prior)|20/36 Albert Street|North Parramatta|2151|2|2|2|http://www.realestate.com.au/property-apartment-nsw-north+parramatta-124210282
600000-650000|Unbeatable Price|1 26 29 32/7 Aird Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123896978
650000-700000|$699,950 - $749,950|45/20 Victoria Rd|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123793898
650000-700000|$750,000 - $800,000|11/9-11 St Annes Street|Ryde|2112|2|2|2|http://www.realestate.com.au/property-apartment-nsw-ryde-124197358
450000-500000|$499,950 - $539,950||Westmead|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123276142
500000-550000|2 beds from $610,000|2 Bouvardia Street|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-124234734
600000-650000|Deluxe apartment living|18/12-18 Conie Avenue|Baulkham Hills|2153|2|2|2|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-124248614
650000-700000|From $672,000|164 - 170  Great Western Hwy|Westmead|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-westmead-124038054?listingType=buy
450000-500000|For Sale $549,000|23A/15 Samuel Street|Lidcombe|2141|2|1|3|http://www.realestate.com.au/property-apartment-nsw-lidcombe-123986858
650000-700000|Price Guide $750,000 - $780,000|135 Woodville Road|Chester Hill|2162|3|1|1|http://www.realestate.com.au/property-house-nsw-chester+hill-124009514
500000-550000|UNDER CONTRACT|12/15 SAMUEL STREET|Lidcombe|2141|2|1|1|http://www.realestate.com.au/property-unit-nsw-lidcombe-123284898
500000-550000|2 Bedrooms From $600,000|522-524 Pacific Highway|Mount Colah|2079|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mount+colah-124233822
650000-700000|$669,000|412/81-86 Courallie Ave|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124054246
550000-600000|Price Guide $590,000 - $640,000|3/59-61 Lavinia Street|Merrylands|2160|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-merrylands-124241242
650000-700000|AUCTION|92 Hampden Road|South Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-house-nsw-south+wentworthville-124149810
650000-700000|$700,000 - $750,000|1-8/21 Carinya Road|Girraween|2145|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-girraween-123269498
650000-700000|$820,000|41/68 Macarthur Street|Parramatta|2150|3|2|2|http://www.realestate.com.au/property-apartment-nsw-parramatta-123986866
600000-650000|$660K to $680K|64-72 River Rd|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-122505246
600000-650000|From $629,990|232B/1-7 Hawkesbury Road|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123581718
600000-650000|FORTHCOMING AUCTION|8/530-532 Liverpool Road|Strathfield South|2136|2|2|2|http://www.realestate.com.au/property-unit-nsw-strathfield+south-124280486
550000-600000|$559,800|10/12 Stimson Street|Guildford|2161|2|2|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123032938
650000-700000|Auction|98 Louis Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-house-nsw-granville-124181086
650000-700000|Under Contract|48/1 Lamond Drive|Turramurra|2074|2|2|1|http://www.realestate.com.au/property-apartment-nsw-turramurra-124010838
550000-600000|$570,000|6/3-4 Harvey Place|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-unit-nsw-toongabbie-124016146
