price range|price|address|locality|postalCode|beds|bathes|cars|link
550000-600000|$649,000|401/6 East Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-unit-nsw-granville-124014902
550000-600000|$588,000|3/57 Mary St|Auburn|2144|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-auburn-121012130
600000-650000|$605,000|1 Cowan Rd|Mount Colah|2079|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mount+colah-123920394
600000-650000|$620,000|108/81-86 Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124012450
650000-700000|Reduced Price! $690,000-$760,000|91/1 Russell St|Baulkham Hills|2153|2|2|2|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-123946050
600000-650000|0||||0|0|0|http://www.realestate.com.au/project-the+grace-nsw-hornsby-600013042?numBeds=2
500000-550000|AUCTION|27/10-14 Great Western Highway|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-124218318
550000-600000|Contact Agent|547 Liverpool Road|Strathfield|2135|2|2|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-120951066
500000-550000|For Sale: From $550,000|27 Woodville  Road|Chester Hill|2162|2|1|1|http://www.realestate.com.au/property-apartment-nsw-chester+hill-119593779
450000-500000|EXPRESSIONS OF INTEREST|14/37-39 Lane Street|Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-123867782
650000-700000|$730,000||Wentworthville|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123264806
500000-550000|Contact Agent|3/68-70 Dartbrook Road|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-123286118
650000-700000|$660,000|1-11/6 Raymond Lane|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123005310
600000-650000|$625,000|207/120 James Ruse drive|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-122590174
650000-700000|From $695,000|208-214 Parramatta Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-124242930
550000-600000|$598,000.00|17/48 St Hilliers Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123956022
400000-450000|$569,000|2101/62 Queen St|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123661490
650000-700000|Price guide $650,000 - $700,000|7/6 Forest Grove|Epping|2121|2|1|1|http://www.realestate.com.au/property-apartment-nsw-epping-124262914
450000-500000|contact agent|325 327 &331 Peats Ferry Road|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-124078550
450000-500000|Contact Agent|1-27/8-12 Linden Street|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-124083074
550000-600000|SOLD|13/135-137 Pitt Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-122900350
650000-700000|Contact Agent|38/223 Carlingford Road|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-121959210
650000-700000|Asking $770,000||Wentworth Point|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-122637818
650000-700000|Price Guide $680000|5/6-8 Water Street|Wentworthville|2145|4|3|2|http://www.realestate.com.au/property-townhouse-nsw-wentworthville-123446210
650000-700000|$668,000 - $718,000|92 Hunter Street|Hornsby|2077|2|2|2|http://www.realestate.com.au/property-unit-nsw-hornsby-124000286
600000-650000|$618,000|73-75  Deakin Street|Silverwater|2128|3|2|2|http://www.realestate.com.au/property-apartment-nsw-silverwater-122050258
650000-700000|$749,000|1-7/15 Burbang Crescent|Rydalmere|2116|3|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-123284706
300000-350000|$439,000|19/454-460 Guildford Road|Guildford|2161|2|1|2|http://www.realestate.com.au/property-unit-nsw-guildford-124091642
550000-600000|5% rental Guarantee! Call for other incentives!|16-18 Simpson St|Auburn|2144|3|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-121587830
500000-550000|Price Guide $520,000 - $550,000|3/25 Dressler Court|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124051582
650000-700000|Selection from $699,000|Cnr Liverpool and Homebush Roads|Strathfield|2135|2|2|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-123047570
600000-650000|$645,000|Unit 4/26 Tennyson Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-120894841
650000-700000|JUST LISTED|7-9/23 Tungarra Road|Girraween|2145|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-girraween-122913842
550000-600000|$589,000|6/124-130 Kissing Point Rd|Dundas|2117|2|1|1|http://www.realestate.com.au/property-apartment-nsw-dundas-123220114
550000-600000|Contact Agent|172-176 Parramatta|Homebush|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush-122951306
600000-650000|Contact Agent|43 Lavender Avenue Kellyville (Off York Rd)|Kellyville|2155|2|2|2|http://www.realestate.com.au/property-apartment-nsw-kellyville-123568150
600000-650000|$610,000|11/10 Hope Street|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124121570
650000-700000|$700,000|809/36 cowper st|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-121018950
600000-650000|Under contract|2/1A Anderson Road|Northmead|2152|3|3|1|http://www.realestate.com.au/property-townhouse-nsw-northmead-123561318
400000-450000|Just Listed|9/49-51 Manchester Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-house-nsw-merrylands-123514678
550000-600000|$560,000-$590,000|17/57-59 Stapleton Street|Pendle Hill|2145|3|1|2|http://www.realestate.com.au/property-unit-nsw-pendle+hill-124159990
650000-700000|$690,000|85/208-214 Parramatta Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-123902586
450000-500000|Contact Agent|52 Neil Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-121333310
450000-500000|1 bed $450,000 2 bed $575,000|1-10/79 Merrylands Road|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-120039101
550000-600000|$580,000|Building M G08/81-86 Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123084534
650000-700000|For Sale $825,000|1006C/3 Broughton Street|Parramatta|2150|2|2|2|http://www.realestate.com.au/property-apartment-nsw-parramatta-122940634
600000-650000|Price Guide $650000 - $709000|12-14 Bouvardia Street|Asquith|2077|2|2|1|http://www.realestate.com.au/property-unit-nsw-asquith-123595750
550000-600000|$589,000|89-93 Wentworth Ave|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-124081454
450000-500000|Contact Agent|19/72 Great Western Highway|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124110734
600000-650000|$605,000|213/89-93 Wentworth Avenue|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123909310
550000-600000|$570,000 - $620,000|4/78-82 Old Northern Road|Baulkham Hills|2153|2|1|1|http://www.realestate.com.au/property-unit-nsw-baulkham+hills-124103218
550000-600000|Contact Agent||Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123403974
